id,venue_county,event_type,live,zipcode,participate,codee,important,codeg,money,codeh,source,resource,name,email,trouble
4/30/2014 8:34:38,Dutchess,cultural,Dutchess County,,Concerts series (Four Nations),fm,Pawling Concert Series,m-cs,A small Theater for shows,v-mp,Webpages,,,,
,,,,,English Country Dancing,pd,,,music,,Social media (facebook),,,,
,,,,,Pawling Concert Series,fm,,,movies,,Print,,,,
,,,,,Akindale Free Library art show,as,,,and dancing,,Radio,,,,
,,,,,,,,,,,recommendations from people I know through church,,,,
,,,,,,,,,,,clubs,,,,
,,,,,,,,,,,organizations,,,,
5may-01,Ulster,cultural,Marlboro,12542,Art,a, ,,concerts ,mc,TV Stations,,,,
,,,,,Craft shows,as,,,,,,,,,
,,,,,Food Shows,,,,,,,,,,
"5may-02
",Ulster,cultural,Marlboro,12542,,,,,Concerts,mc,Newspaper,,,,
,,,,,,,,,Music for all ages,m,,,,,
5may-03,Ulster,cultural,Highland,12528,Hispanic activities,f-cult,Guelaguetza,f-cult,,,Webpages,,,,
,,,,,,,Mid-Hudson Children's Museum,kmu,,,social media,,,,
,,,,,,,Church Events,v-ch,,,print,,,,
,,,,,,,,,,,TV,,,,
,,,,,,,,,,,Radio,,,,
,,,,,,,,,,,Email,,,,
5may-04,Ulster,cultural,Highland,12528,,,Guelaguetza,f-cult,,,Email,,,,
5may-05,Ulster,cultural,Dutchess County,12601,Visit historic sites,c-t,Historical,c-th,Bird Watching Group,,Web,,,,
,,,,,participate in ecological cleanup,**,,,Mexican Culture,,Print,,,,
5may-06,Ulster,cultural,Dutchess County,12603,Music,m,Schools,vs,,,Web,,,,
,,,,,Dance,pd,Library Events,v-lib,,,print,,,,
,,,,,Art Galleries,ag,churches,v-ch,,,email,,,,
,,,,,,,concerts,mc,,,,,,,
5may-07,Ulster,cultural,Fishkill,12524,Fishkill,c-tr,Mid-Hudson Region,c-tr,,,Web,,,,
,,,,,Poughkeepsie,c-tr,,,,,Print,,,,
,,,,,Beacon,c-tr,,,,,,,,,
5may-08,Ulster,cultural,Wallkill,12589,,,Learning about different cultural holidays,,art shows,as,,fb,,,
,,,,,,,,,local artists,al,,,,,
5may-09,Ulster,cultural,Newburgh,12550,Cinco de Mayo at Marlboro library,f-cult,Jazz at Falcon,vm,,,,Facebook,,,
,,,,,,,Unico Events,mg-j,,,,Marlboro Library's newsletter,,,
,,,,,,,,v-cult,,,,,,,
5may-10,Ulster,cultural,West Park,12493,,,,,program to develop an appreciation of the history of our part of the Hudson Valley. ,,print,,,,
,,,,,,,,,,,radio,,,,
PCS-01,Dutchess,musical,Pawling,12564,Pawling Concert Series,m-cs,Pawling Concert Series,m-cs,A theater,t,Email,,,,
,,,,,,,Kane House,**,,,,,,,
,,,,,,,concerts at Lakeside Park,mc,,,,,,,
,,,,,,,,v-out,,,,,,,
PCS-02,Dutchess,musical,Pawling,12564,CapReb (albany),vt,Pawling Concert Series,m-cs,good theater group for dramas,tc,web,,,,
,,,,,Albany Symphony Orchestra,mc,art galleries,ag,movie theater,v-mo,google,,,,
,,,,,Pawling Concert Series,m-cs,,,,,email,,,,
,,,,,Boscobel,f-lt,,,,,,,,,
,,,,,Millerton Moviehouse,v-flm,,,,,,,,,
,,,,,Upstate Films,v-flm,,,,,,,,,
,,,,,Bethel Cinema (CT),v-flm,,,,,,,,,
PCS-03,Dutchess,musical,Pawling,12564,Howland Cultural Center,v-multi,Pawling Concert Series,m-cs,Dance,d,web,,,,
,,,,,Pawling Concert Series,m-cs,Lakeside Park Summer Concerts,m-cs,Theater,t,print,,,,
,,,,,Bardavon,v-multi,Towne Crier,v-com,,,,,,,
,,,,,Vassar,vc,,,,,,,,,
,,,,,Hudson Valley Jazz Fest,fm,,,,,,,,,
PCS-04,Dutchess,musical,Pawling,12564,,,Pawling Concert Series,m-cs,an orchestra,,web,,,,
,,,,,,,putnam chorale,mg,,,social media,,,,
,,,,,,,,,,,email,,,,
PCS-05,Dutchess,musical,Clintondale,12515,Community Playback Theater,tc,Boughton Place,a-org,repertory theater,tl,,PoJo- Enjoy,,,
,,,,,Upstate Films,v-flm,Unison,ac,,,,Almanac,,,
,,,,,Vocal Visionaries (singing group led by Amy Fradon),m-grp,ASK,ag,,,,,,,
,,,,,,,Francis Lehman Loeb Art Center,am,,,,,,,
,,,,,,,DIA,am,,,,,,,
,,,,,,,Towne Crier,v-com,,,,,,,
,,,,,,,,m-live,,,,,,,
PCS-06,Dutchess,musical,Poughkeepsie,12601,art panels,amisc,Howland Cultural Center-Concerts,v-multi,,,web,,,,
,,,,,exhibits,as,Pawling Concert Series,mc,,,print,,,,
,,,,,lectures,aed,Bard,m-cs,,,radio,,,,
,,,,,theater,t,Bardavon,c,,,email,,,,
,,,,,,,Vassar,v-multi,,,,,,,
,,,,,,,Hudson Valley Jazz Fest,c,,,,,,,
,,,,,,,,fm,,,,,,,
,,,,,,,,mg-j,,,,,,,
PCS-07,Dutchess,musical,Pawling,12564,Pawling Concert Series,"m-cs
",Trinity Pawling School,**,live music,m-live,web,,,,
,,,,,,,Lakeside Park,**,,,print,,,,
,,,,,,,Towne Crier,v-com,,,radio,,,,
,,,,,,,,,,,tv,,,,
,,,,,,,,,,,email,,,,
PCS-08,Dutchess,musical,Amenia,12501,Center for the Performing Arts at Rhinebeck,vt,Music,m,live theater,tl,web,,,,
,,,,,Vassar,ac,Theater,t,,,,,,,
,,,,,TriArts Sharon Playhouse,vt,,,,,,,,,
PCS-09,Dutchess,musical,Amenia,12501,Hotchkiss,m-cs,music,a,theater,tl,,Millbrook Independent,,,
,,,,,Northern Dutchess Orch,mc,art,m,,,,hdd,,,
,,,,,Smithfield Church,v-ch,,,,,,,,,
PCS-10,Dutchess,musical,Patterson,12563,Concerts,mc,Frogs (Pawling),,opera,mg-o,,Millbrook Independent,,,
,,,,,art exhibitions,as,,,,,,WSHU radio (Sharon,,,
,,,,,plays,tl,,,,,,CT),,,
PCS-11,Dutchess,musical,Hopewell Junction,12533,County Players,tc,Music,m,,,,PoJo,,,
,,,,,Bascobel,v-mp,theater,t,,,,NYTimes,,,
,,,,,West Point,mc,lecture,el,,,,WMHT radio,,,
,,,,,Town Concert,m-live,,,,,,,,,
PCS-12,Dutchess,musical,Pawling,12531,All if possible,,all are important,,comprehensive multi-arts center,v-mp,web,,,,
,,,,,,,,,,,print,,,,
,,,,,,,,,,,tv,,,,
,,,,,,,,,,,radio email,,,,
"rf-01
",Ulster,networking,Rosendale,12486,Ulster Ballet Company,pd,UPAC,v-multi,UBC Have its own studio and performance area,,web,,,,
,,,,,,,,,,,print,,,,
,,,,,,,,,,,fb,,,,
,,,,,,,,,,,email,,,,
"rf-02
",Ulster,networking,Rhinebeck,,gallery,as,on hand art to participate in. An online place to find out about all art events with app or mobile site,aw,more lower cost studio rentals,,web,,,,
,,,,,festivals,aw,,,,,print,,,,
,,,,,art classes,,,,,,social media email,,,,
rf-03,Ulster,networking,Kingston,,music and art in Woodstock,m,UPAC,v-multi,small off Broadway theater,t,newspapers and magazines,WDST,,,
,,,,,New Paltz,a,Cornell Street Studios,ag,5 star hotel to accomodate performing artists,**,public tv,WKNY,,,
,,,,,Rhinebeck,,Woodstock Playhouse,,spas,,,WGHQ radio,,,
,,,,,Red Hook,,R&F handmade paints,,,,,,,,
,,,,,Tivoli,,Bailey Pottery,,,,,,,,
,,,,,Saugerties,,Keegan Ales,,,,,,,,
,,,,,Phoenicia,,BPS,,,,,,,,
,,,,,Windham,,Rondout water front events,,,,,,,,
,,,,,Stone Ridge,,Dutchess County Fairgrouds,,,,,,,,
,,,,,High Falls,,,,,,,,,,
,,,,,Hudson,,,,,,,,,,
,,,,,Catskill,,,,,,,,,,
,,,,,Bethel,,,,,,,,,,
rf-04,Ulster,networking,Poughkeepsie,12603,Queen City Arts,fa,Bard,c,sculpture,ag-s,,PoJo,,,
,,,,,,,Bardavon,v-multi,waterfront ampitheater,v_mp,,radio -WAMC (NPR),,,
,,,,,,,,,concerts,mc,,tv (WNET - ch 13 - NYC),,,
rf-05,Ulster,networking,Rhinebeck,12572,Theater,t,Bardavon,v-multi,Community center for free art - access to all is so important.,ac,web,,,,
,,,,,music,m,UPAC,v-multi,,,Print (weeklies,,,,
,,,,,outdoor events,,Center for the Performing Arts at Rhinebeck,vt,,,monthly),,,,
,,,,,,,Fisher Center for the Performing Arts,v-mp,,,WAMC radio,,,,
,,,,,,,Mill Street Loft,a-org,,,social media,,,,
,,,,,,,cummunity music space (Red Hook),"m-live
a-org",,,friends,,,,
,,,,,,,,m-live,,,email from Arts Mid-Hudson,,,,
,,,,,,,,,,,Rural Intelligence,,,,
rf-06,Ulster,networking,Gardiner,12589,Walkway Over the Hudson,c-tl,outdoor park,v-out,Pop UP galleries,ag,,,,,
,,,,,Unison Arts and Learning Center,v-multi,music,ag-i,,,,,,,
,,,,,UPAC,v-multi,installation art,**,,,,,,,
,,,,,Bardavon,v-multi,art exchanges,**,,,,,,,
,,,,,UCCC,vc,artists residences,,,,,,,,
,,,,,SUNY New Paltz,vc,artist exchanges,,,,,,,,
,,,,,Cunneen,v-mp,,,,,,,,,
,,,,,Hackett,,,,,,,,,,
,,,,,Towne Crier,v-com,,,,,,,,,
,,,,,Club Helsinki,v-com,,,,,,,,,
rf-07,Ulster,networking,Wallkill,12589,Unison Arts and Learning Center,v-multi,Unison Arts,v-multi,sculpture park,ag-s,New Paltz Times,,,,
,,,,,Rhinebeck Crafts Fair,ac,UPAC,v-multi,performance space,ag,WDST,,,,
,,,,,,cft,Bardavon,v-multi,,v-mp,WVKR,,,,
,,,,,,,Bard College,vc,,,email,,,,
,,,,,,,SUNY New Paltz,vc,,,,,,,
rf-08,Ulster,networking,"Dutchess, Rhinebeck",12572,KMOCA ,ag,KMOCA,ag ,Community ceramics studio and community art complex.  Mix of private studios,ac,web,,,,
,,,,,,,,,shared studios,aed,print,,,,
,,,,,,,,,classroom spaces that could be rented to teach classes,aw,,,,,
,,,,,,,,,communal tools,,,,,,
,,,,,,,,,glass - metals - wood shop,,,,,,
,,,,,,,,,FAB,,,,,,
,,,,,,,,,gallery space,,,,,,
rf-09,Ulster,networking,Kingston,12401,Art openings,as,The Great Outdoors,v-out,We have it all!,,web,Steve Latine,,,
,,,,,UPAC,v-multi,,,,,print,,,,
,,,,,Bardavon,v-multi,,,,,radio,,,,
,,,,,Upstate Films,v-flm,,,,,social,,,,
,,,,,,,,,,,email,,,,
rf-10,Ulster,networking,Rosendale,12472,music,m,Rosendale Theater,vt,Piano Bar,,web,,,,
,,,,,theater,t,Rosendale Cafe,v-com,,,newspapers,,,,
,,,,,art,a,SUNY New Paltz,vc,,,radio,,,,
,,,,,,,UPAC,v-multi,,,social media,,,,
,,,,,,,Bearsville Theater,v-mp,,,email,,,,
rf-11,Ulster,networking,Highland,12628,Bardavon,v-multi,UPAC,v-multi,,,web,,,,
,,,,,Falcon,vm,Bardavon,v-multi,,,social media,,,,
,,,,,,,Falcon,vm,,,,,,,
,,,,,,,DIA,am,,,,,,,
rf-12,Ulster,networking,Woodstock,12498,Artrider events,af,Byrdcliffe,**,,,,WDST,,,
,,,,,Bardavon,v-multi,Bard College,vc,,,,WKZE,,,
,,,,,Bearsville Theater,v-mp,UPAC,v-multi,,,,Hudson Valley Magazine,,,
,,,,,Woodstock movie festival,f-film,Storm King Arts Center,ag,,,,Arts Mid-Hudson,,,
,,,,,,,Dutchess County Fairgrounds,v-multi,,,,,,,
rf-13,Ulster,networking,Woodstock,12498,Gallery openings,ag,Woodstock School of Art,ac,,,,Chronogram,,,
,,,,,concerts,as,Byrdcliffe Guild,ac,,,,WAMC,,,
,,,,,art classes,aw,SUNY New Paltz,vc,,,,Arts Mid-Hudson,,,
,,,,,lectures,,Maverick,vm,,,,,,,
,,,,,,,UPAC,v-multi,,,,,,,
rf-14,Ulster,networking,Kingston,,art shows,as,The more events happening the better.  ,,,,print,,,,
,,,,,fashion shows,,,,,,social media,,,,
,,,,,car shows,,,,,,email,,,,
rf-15,Ulster,networking,West Park,12493,dance,d,,,,,web,,,,
,,,,,theater,t,,,,,print,,,,
,,,,,gallery openings,ago,,,,,WAMC,,,,
,,,,,movies,as,,,,,social media,,,,
,,,,,music,v-mo,,,,,,,,,
,,,,,,m,,,,,,,,,
rf-16,Ulster,networking,Wallkill,12589,Center for Creative Education,ac,Center for Creative Education,ac,more intergenerational health and wellness programming.,,web,,,,
,,,,,Energy Dance Company,dc,BSP,vm,,,Ulster Happenings.com,,,,
,,,,,Percussion Orchestra of Kingston (POOK),m-grp,Uptown Gallery,m-live,,,fb,,,,
,,,,,DXF (dance xross fitness),m-ed,UPAC,v-multi,,,email,,,,
,,,,,Paul Green Rock academy.,,Woodstock Film Festival,ag,,,,,,,
,,,,,,,Festival of Dance,v-multi,,,,,,,
,,,,,,,,v-mo,,,,,,,
,,,,,,,,fd,,,,,,,
rf-17,Ulster,networking,Woodstock,12498,Woodstock Chamber Orchestra,mc,UPAC,v-multi,I think we've got everything (unfortunately many things struggle to exist),,print,,,,
,,,,,Drum boogie,mg-chm,Belleayre,fm,,,radio,,,,
,,,,,Belleayre festival,m,Woodstock playhouse,t,,,email,,,,
,,,,,Mid,mc fm,Maverick,vm,,,,,,,
,,,,,Hudson Classic Guitar Society,,,,,,,,,,
,,,,,Phoenicia Festival of the Voice,,,vm,,,,,,,
,,,,,,,,m-cs,,,,,,,
Beacon Open Studio,Dutchess,art,White Plains,10603,,,open studio tours,aos,,,web,,,,
,,,,,,,music,m,,,Chronogram,,,,
,,,,,,,theater,t,,,WAMC,,,,
,,,,,,,visual art,a,,,,,,,
Beacon Open Studio,Dutchess,art,Beacon,12508,local events,e-loc,open studio tours,aos,drawing,,print,,,,
,,,,,,,music,ag-v,sewing,,,,,,
,,,,,,,theater,,potters,,,,,,
,,,,,,,visual art,,,,,,,,
Beacon Open Studio,Dutchess,art,Beacon,12508,Theater,t,Beacon Theater,t,dance,pd,email,,,,
,,,,,Howland Cultural Center,v-mp,Howland Cultural Center,v-mp,,,,,,,
,,,,,2nd Saturday events,aos,,,,,,,,,
Beacon Open Studio,Dutchess,art,Monroe,10950,any art we can find,a,open studio tours,aos,Public display for artist,va,Chronogram,,,,
,,,,,,,music,ag-v,,,NPR (WAMC),,,,
,,,,,,,theater,,,,email,,,,
,,,,,,,visual art,,,,,,,,
Beacon Open Studio,Dutchess,art,Beacon,12508,,,open studio tours, wish to have it twice a year,aos,,,,,,
Beacon Open Studio,Dutchess,art,Greenville,12771,2nd Saturday,aos,movies,a,,,,,,,
,,,,,other events,,plays,,,,,,,,
,,,,,dog parade,,music,,,,,,,,
,,,,,,,art,,,,,,,,
Beacon Open Studio,Dutchess,art,Beacon,12508,2nd Saturday,ag,film festivals,f-flm,indie movies,,,,,,
,,,,,galleries,,Dogwood Bar music,v-com,movies,,,,,,
,,,,,,,DIA,m,,,,,,,
,,,,,,,,am,,,,,,,
Beacon Open Studio,Dutchess,art,Beacon,12508,2nd Saturday,aos,2nd Saturday,aos,,,print,,,,
,,,,,open studio tours,,waterfront festivals,f,,,social media,,,,
,,,,,music events,,,,,,,,,,
Beacon Open Studio,Dutchess,art,"Ridgefield, CT",6877,open studio tours,aos,,,live-work lofts for artists,,ads in news,,,,
,,,,,craft fairs,cft,,,,,gallery handouts,,,,
